Description	Count	p	Ontology
ubiquitin-dependent protein catabolic process	4	0.0006	bp
negative regulation of cell population proliferation	1	0.0360	bp
intra-Golgi vesicle-mediated transport	1	0.0360	bp
S-adenosylmethionine metabolic process	1	0.0360	bp
lipid homeostasis	1	0.0430	bp
endoplasmic reticulum unfolded protein response	1	0.0430	bp
mannose metabolic process	1	0.0430	bp
U1 snRNP	1	0.039	cc
Golgi transport complex	1	0.039	cc
Sin3-type complex	1	0.039	cc
nucleolus	3	0.044	cc
RNA polymerase II, core complex	1	0.047	cc
ubiquitin binding	2	0.0071	mf
fatty acid binding	1	0.0353	mf
RNA polymerase II activity	1	0.0423	mf
ubiquitin conjugating enzyme activity	1	0.0423	mf
voltage-gated monoatomic anion channel activity	1	0.0423	mf
structural constituent of chromatin	1	0.0491	mf
ubiquitin protein ligase activity	2	0.0493	mf
